WorkOrder,PICCNO,Textbox8,Textbox9,Textbox10,Folio_Name,StreetAddress,StreetAddress3,StreetAddress2,Textbox19,StreetAddress5,Textbox18,NotesToTP,StreetAddress4,Textbox16,StreetAddress6,Textbox68,Textbox22,Textbox24,Textbox26,Work_Onsite_Date_Time,Work_Completed_Date_Time,Textbox50,TradeDescription,ItemCode,quantity1,Textbox15,Textbox6,StreetAddress11,StreetAddress13,StreetAddress15,Work_Done_Text,Textbox76,Textbox77
R5497282-3,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,40 GEAR TCE  PORIRUA EAST PORIRUA,URITEM,,BYDH Construction Limited,Ph: 0273111387,Asbestos is present; ASBESTOS,"VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan; Access: Select Preferred Access Time (From List); AM: YYYYYNN, PM: YYYYYNN; All contacts: (Rep) Uritem ; VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan",, ,,11/10/2023 10:27 AM,12/10/2023 00:00 AM,18/10/2023 23:59 PM,10/10/2023 15:53 PM,25/10/2023 12:05 PM,Work Details: VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan,CBA,CBA120,1,"BATH CRADLE & PANEL, REPL CRADLE ",Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
R5497282-3,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,40 GEAR TCE  PORIRUA EAST PORIRUA,URITEM,,BYDH Construction Limited,Ph: 0273111387,Asbestos is present; ASBESTOS,"VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan; Access: Select Preferred Access Time (From List); AM: YYYYYNN, PM: YYYYYNN; All contacts: (Rep) Uritem ; VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan",, ,,11/10/2023 10:27 AM,12/10/2023 00:00 AM,18/10/2023 23:59 PM,10/10/2023 15:53 PM,25/10/2023 12:05 PM,Work Details: VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan,CBA,CBA200,1,BATH REPLACE LOW LIP BATH POOR CONDITION,Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
R5497282-3,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,40 GEAR TCE  PORIRUA EAST PORIRUA,URITEM,,BYDH Construction Limited,Ph: 0273111387,Asbestos is present; ASBESTOS,"VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan; Access: Select Preferred Access Time (From List); AM: YYYYYNN, PM: YYYYYNN; All contacts: (Rep) Uritem ; VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan",, ,,11/10/2023 10:27 AM,12/10/2023 00:00 AM,18/10/2023 23:59 PM,10/10/2023 15:53 PM,25/10/2023 12:05 PM,Work Details: VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan,CFR,CFR300,4.75,"FRAMING, STRAP TIM WALL",Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
R5497282-3,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,40 GEAR TCE  PORIRUA EAST PORIRUA,URITEM,,BYDH Construction Limited,Ph: 0273111387,Asbestos is present; ASBESTOS,"VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan; Access: Select Preferred Access Time (From List); AM: YYYYYNN, PM: YYYYYNN; All contacts: (Rep) Uritem ; VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan",, ,,11/10/2023 10:27 AM,12/10/2023 00:00 AM,18/10/2023 23:59 PM,10/10/2023 15:53 PM,25/10/2023 12:05 PM,Work Details: VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan,CHB,CHB320,1,"SHOWER CURTAIN, BATH SIZE NEW SHOWER CURTAIN",Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
R5497282-3,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,40 GEAR TCE  PORIRUA EAST PORIRUA,URITEM,,BYDH Construction Limited,Ph: 0273111387,Asbestos is present; ASBESTOS,"VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan; Access: Select Preferred Access Time (From List); AM: YYYYYNN, PM: YYYYYNN; All contacts: (Rep) Uritem ; VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan",, ,,11/10/2023 10:27 AM,12/10/2023 00:00 AM,18/10/2023 23:59 PM,10/10/2023 15:53 PM,25/10/2023 12:05 PM,Work Details: VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan,CHD,CHD500,1,"DR STOP, REPL",Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
R5497282-3,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,40 GEAR TCE  PORIRUA EAST PORIRUA,URITEM,,BYDH Construction Limited,Ph: 0273111387,Asbestos is present; ASBESTOS,"VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan; Access: Select Preferred Access Time (From List); AM: YYYYYNN, PM: YYYYYNN; All contacts: (Rep) Uritem ; VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan",, ,,11/10/2023 10:27 AM,12/10/2023 00:00 AM,18/10/2023 23:59 PM,10/10/2023 15:53 PM,25/10/2023 12:05 PM,Work Details: VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan,CLW,CLW200,1,"WET LININGS BATH 2 SIDES, REPL",Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
R5497282-3,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,40 GEAR TCE  PORIRUA EAST PORIRUA,URITEM,,BYDH Construction Limited,Ph: 0273111387,Asbestos is present; ASBESTOS,"VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan; Access: Select Preferred Access Time (From List); AM: YYYYYNN, PM: YYYYYNN; All contacts: (Rep) Uritem ; VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan",, ,,11/10/2023 10:27 AM,12/10/2023 00:00 AM,18/10/2023 23:59 PM,10/10/2023 15:53 PM,25/10/2023 12:05 PM,Work Details: VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan,CLW,CLW210,0,"WET LININGS BATH 3 SIDES, REPL WET WALL FOR NEW BATH",Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
R5497282-3,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,40 GEAR TCE  PORIRUA EAST PORIRUA,URITEM,,BYDH Construction Limited,Ph: 0273111387,Asbestos is present; ASBESTOS,"VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan; Access: Select Preferred Access Time (From List); AM: YYYYYNN, PM: YYYYYNN; All contacts: (Rep) Uritem ; VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan",, ,,11/10/2023 10:27 AM,12/10/2023 00:00 AM,18/10/2023 23:59 PM,10/10/2023 15:53 PM,25/10/2023 12:05 PM,Work Details: VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan,DAP,DAP100,6,"ADDITIONAL PREP, WALL/CEILING ADDITIONAL PREP REQUIRED DUE TO EXCESSIVE FLAKING PAINT ON TRIM SKIRTING AND DOORS ",Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
R5497282-3,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,40 GEAR TCE  PORIRUA EAST PORIRUA,URITEM,,BYDH Construction Limited,Ph: 0273111387,Asbestos is present; ASBESTOS,"VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan; Access: Select Preferred Access Time (From List); AM: YYYYYNN, PM: YYYYYNN; All contacts: (Rep) Uritem ; VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan",, ,,11/10/2023 10:27 AM,12/10/2023 00:00 AM,18/10/2023 23:59 PM,10/10/2023 15:53 PM,25/10/2023 12:05 PM,Work Details: VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan,FMS,FMS150,3.1,"FL COVERING UNDERLAY, S&F VINYL REPLACE",Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
R5497282-3,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,40 GEAR TCE  PORIRUA EAST PORIRUA,URITEM,,BYDH Construction Limited,Ph: 0273111387,Asbestos is present; ASBESTOS,"VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan; Access: Select Preferred Access Time (From List); AM: YYYYYNN, PM: YYYYYNN; All contacts: (Rep) Uritem ; VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan",, ,,11/10/2023 10:27 AM,12/10/2023 00:00 AM,18/10/2023 23:59 PM,10/10/2023 15:53 PM,25/10/2023 12:05 PM,Work Details: VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan VP- STAGE2- VSC W/O WCOM 23/OCT/2023 VPM BO - Spotless Stephen / Nathan,FVN,FVN100,3.1,"VINYL, REM REMOVE VINYL",Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
