WorkOrder,PICCNO,Textbox8,Textbox9,Textbox10,Folio_Name,StreetAddress,StreetAddress3,StreetAddress2,Textbox19,StreetAddress5,Textbox18,NotesToTP,StreetAddress4,Textbox16,StreetAddress6,Textbox68,Textbox22,Textbox24,Textbox26,Work_Onsite_Date_Time,Work_Completed_Date_Time,Textbox50,TradeDescription,ItemCode,quantity1,Textbox15,Textbox6,StreetAddress11,StreetAddress13,StreetAddress15,Work_Done_Text,Textbox76,Textbox77,*AccountCode,*ContactName,*Description,*DueDate,*InvoiceDate,*Quantity,*TaxType,*UnitAmount,Currency,InventoryItemCode,Reference
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,"CLEAN EXT WALLS HSE, 2 STY",6/12/2023,6/11/2023,1.0,No Tax,375.13,NZD,KCX110 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,"VINYL STRIP, RESEAL & POLISH",6/12/2023,6/11/2023,9.0,No Tax,24.26,NZD,KCH330 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,"CLEAN STOVE, MAJOR",6/12/2023,6/11/2023,1.0,No Tax,155.91,NZD,KCH260 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,RANGEHOOD CLEAN/MAINT,6/12/2023,6/11/2023,1.0,No Tax,49.93,NZD,KCH270 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,"VINYL STRIP, RESEAL & POLISH",6/12/2023,6/11/2023,7.0,No Tax,24.26,NZD,KCH330 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,"VINYL STRIP, RESEAL & POLISH",6/12/2023,6/11/2023,4.0,No Tax,24.26,NZD,KCH330 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,CLEAN EXT PORCH,6/12/2023,6/11/2023,0.0,No Tax,42.99,NZD,KCX200 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,"RUBBISH INT, REM",6/12/2023,6/11/2023,0.5,No Tax,136.13,NZD,KCH050 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,"CLEAN WHOLE HSE 2 - 5 BEDRM, MNR",6/12/2023,6/11/2023,1.0,No Tax,421.16,NZD,KCH180 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,CLEAN EXT SHED/GARAGE <=25M2,6/12/2023,6/11/2023,1.0,No Tax,25.19,NZD,KCX210 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,WATERBLAST PATH/DRIVE,6/12/2023,6/11/2023,15.0,No Tax,8.77,NZD,KCX250 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
