WorkOrder,PICCNO,Textbox8,Textbox9,Textbox10,Folio_Name,StreetAddress,StreetAddress3,StreetAddress2,Textbox19,StreetAddress5,Textbox18,NotesToTP,StreetAddress4,Textbox16,StreetAddress6,Textbox68,Textbox22,Textbox24,Textbox26,Work_Onsite_Date_Time,Work_Completed_Date_Time,Textbox50,TradeDescription,ItemCode,quantity1,Textbox15,Textbox6,StreetAddress11,StreetAddress13,StreetAddress15,Work_Done_Text,Textbox76,Textbox77,*AccountCode,*ContactName,*Description,*DueDate,*InvoiceDate,*Quantity,*TaxType,*UnitAmount,Currency,InventoryItemCode,Reference
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,"FRAMING, STRAP TIM WALL",6/12/2023,6/11/2023,4.75,No Tax,48.3188,NZD,CFR300 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,"SHOWER CURTAIN, BATH SIZE",6/12/2023,6/11/2023,1.0,No Tax,47.21773,NZD,CHB320 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,"DR STOP, REPL",6/12/2023,6/11/2023,1.0,No Tax,14.34598,NZD,CHD500 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,"WET LININGS BATH 2 SIDES, REPL",6/12/2023,6/11/2023,1.0,No Tax,998.21082,NZD,CLW200 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,"WET LININGS BATH 3 SIDES, REPL",6/12/2023,6/11/2023,0.0,No Tax,1318.5259800000001,NZD,CLW210 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,"ADDITIONAL PREP, WALL/CEILING",6/12/2023,6/11/2023,6.0,No Tax,8.48,NZD,DAP100 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,"FL COVERING UNDERLAY, S&F",6/12/2023,6/11/2023,3.1,No Tax,51.127,NZD,FMS150 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,"VINYL, REM",6/12/2023,6/11/2023,3.1,No Tax,13.3515,NZD,FVN100 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,"VINYL <=4M2, LAY",6/12/2023,6/11/2023,3.1,No Tax,82.49549999999999,NZD,FVN200 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Spotless,"VINYL 100MM HIGH SKIRTING, LAY",6/12/2023,6/11/2023,6.0,No Tax,24.939999999999998,NZD,FVN500 new,R5497282-3 - 40 GEAR TCE  PORIRUA EAST PORIRUA
