WorkOrder,PICCNO,Textbox8,Textbox9,Textbox10,Folio_Name,StreetAddress,StreetAddress3,StreetAddress2,Textbox19,StreetAddress5,Textbox18,NotesToTP,StreetAddress4,Textbox16,StreetAddress6,Textbox68,Textbox22,Textbox24,Textbox26,Work_Onsite_Date_Time,Work_Completed_Date_Time,Textbox50,TradeDescription,ItemCode,quantity1,Textbox15,Textbox6,StreetAddress11,StreetAddress13,StreetAddress15,Work_Done_Text,Textbox76,Textbox77
WO12933354,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,71 KOKIRI CRES  WAITANGIRUA PORIRUA,,,BYDH Construction Limited,Ph: URG - 0273111387 GNLs - 0273169074,Asbestos is present; ASBESTOS,,, ,,25/01/2023 15:52 PM,27/01/2023 00:00 AM,30/03/2023 17:00 PM,25/01/2023 09:00 AM,30/03/2023 13:55 PM,"Work Details: Meth Reinstatement - 71 Kokiri Cres, Waitangirua, Porirua, 5024 - VPM Uriah - Spotless Matt - WCOM 17/03/2023",CBD,CHB300,1,"SHOWER CURTAIN RAIL, REPL required",Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
WO12933354,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,71 KOKIRI CRES  WAITANGIRUA PORIRUA,,,BYDH Construction Limited,Ph: URG - 0273111387 GNLs - 0273169074,Asbestos is present; ASBESTOS,,, ,,25/01/2023 15:52 PM,27/01/2023 00:00 AM,30/03/2023 17:00 PM,25/01/2023 09:00 AM,30/03/2023 13:55 PM,"Work Details: Meth Reinstatement - 71 Kokiri Cres, Waitangirua, Porirua, 5024 - VPM Uriah - Spotless Matt - WCOM 17/03/2023",CBD,CHB320,1,"SHOWER CURTAIN, BATH SIZE required",Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
WO12933354,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,71 KOKIRI CRES  WAITANGIRUA PORIRUA,,,BYDH Construction Limited,Ph: URG - 0273111387 GNLs - 0273169074,Asbestos is present; ASBESTOS,,, ,,25/01/2023 15:52 PM,27/01/2023 00:00 AM,30/03/2023 17:00 PM,25/01/2023 09:00 AM,30/03/2023 13:55 PM,"Work Details: Meth Reinstatement - 71 Kokiri Cres, Waitangirua, Porirua, 5024 - VPM Uriah - Spotless Matt - WCOM 17/03/2023",CDA,CDT700,1,"DR INT HINGED, REPL REQUIRED",Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
WO12933354,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,71 KOKIRI CRES  WAITANGIRUA PORIRUA,,,BYDH Construction Limited,Ph: URG - 0273111387 GNLs - 0273169074,Asbestos is present; ASBESTOS,,, ,,25/01/2023 15:52 PM,27/01/2023 00:00 AM,30/03/2023 17:00 PM,25/01/2023 09:00 AM,30/03/2023 13:55 PM,"Work Details: Meth Reinstatement - 71 Kokiri Cres, Waitangirua, Porirua, 5024 - VPM Uriah - Spotless Matt - WCOM 17/03/2023",CDA,CHD540,1,WC/BATH PRIVACY TURN KNOB required,Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
WO12933354,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,71 KOKIRI CRES  WAITANGIRUA PORIRUA,,,BYDH Construction Limited,Ph: URG - 0273111387 GNLs - 0273169074,Asbestos is present; ASBESTOS,,, ,,25/01/2023 15:52 PM,27/01/2023 00:00 AM,30/03/2023 17:00 PM,25/01/2023 09:00 AM,30/03/2023 13:55 PM,"Work Details: Meth Reinstatement - 71 Kokiri Cres, Waitangirua, Porirua, 5024 - VPM Uriah - Spotless Matt - WCOM 17/03/2023",CFR,CFR300,6.5,"FRAMING, STRAP TIM WALL strapping wetwall",Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
WO12933354,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,71 KOKIRI CRES  WAITANGIRUA PORIRUA,,,BYDH Construction Limited,Ph: URG - 0273111387 GNLs - 0273169074,Asbestos is present; ASBESTOS,,, ,,25/01/2023 15:52 PM,27/01/2023 00:00 AM,30/03/2023 17:00 PM,25/01/2023 09:00 AM,30/03/2023 13:55 PM,"Work Details: Meth Reinstatement - 71 Kokiri Cres, Waitangirua, Porirua, 5024 - VPM Uriah - Spotless Matt - WCOM 17/03/2023",CFR,CFR550,1,"FALSE WALL 50-100MM, S&F",Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
WO12933354,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,71 KOKIRI CRES  WAITANGIRUA PORIRUA,,,BYDH Construction Limited,Ph: URG - 0273111387 GNLs - 0273169074,Asbestos is present; ASBESTOS,,, ,,25/01/2023 15:52 PM,27/01/2023 00:00 AM,30/03/2023 17:00 PM,25/01/2023 09:00 AM,30/03/2023 13:55 PM,"Work Details: Meth Reinstatement - 71 Kokiri Cres, Waitangirua, Porirua, 5024 - VPM Uriah - Spotless Matt - WCOM 17/03/2023",CHM,CHD200,1,"LATCH COMPL, REPL required",Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
WO12933354,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,71 KOKIRI CRES  WAITANGIRUA PORIRUA,,,BYDH Construction Limited,Ph: URG - 0273111387 GNLs - 0273169074,Asbestos is present; ASBESTOS,,, ,,25/01/2023 15:52 PM,27/01/2023 00:00 AM,30/03/2023 17:00 PM,25/01/2023 09:00 AM,30/03/2023 13:55 PM,"Work Details: Meth Reinstatement - 71 Kokiri Cres, Waitangirua, Porirua, 5024 - VPM Uriah - Spotless Matt - WCOM 17/03/2023",CJD,CJC360,1,"BATH CRADLE & PANEL, REPL cradle",Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
WO12933354,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,71 KOKIRI CRES  WAITANGIRUA PORIRUA,,,BYDH Construction Limited,Ph: URG - 0273111387 GNLs - 0273169074,Asbestos is present; ASBESTOS,,, ,,25/01/2023 15:52 PM,27/01/2023 00:00 AM,30/03/2023 17:00 PM,25/01/2023 09:00 AM,30/03/2023 13:55 PM,"Work Details: Meth Reinstatement - 71 Kokiri Cres, Waitangirua, Porirua, 5024 - VPM Uriah - Spotless Matt - WCOM 17/03/2023",CLW,CLW100,1.5,"WET WALL LININGS, REPL ceiling required replacement",Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
WO12933354,Client Ref: ,Priority: VSC,Help Desk: 09 571 8000,Job Type: RESPM,,,71 KOKIRI CRES  WAITANGIRUA PORIRUA,,,BYDH Construction Limited,Ph: URG - 0273111387 GNLs - 0273169074,Asbestos is present; ASBESTOS,,, ,,25/01/2023 15:52 PM,27/01/2023 00:00 AM,30/03/2023 17:00 PM,25/01/2023 09:00 AM,30/03/2023 13:55 PM,"Work Details: Meth Reinstatement - 71 Kokiri Cres, Waitangirua, Porirua, 5024 - VPM Uriah - Spotless Matt - WCOM 17/03/2023",CLW,CLW100,0.5,"WET WALL LININGS, REPL splashback",Location: Bathroom 1 ,"1 - Confirm Attendance on MyWork app, or call Helpdesk on 09 571 8000","3 - If required, Make Safe on MyWork app, or call Helpdesk on 09 571 8000",5 - Complete work and confirm on MyWork app or call Helpdesk on 09 571 8000,,,
